feat,lrp
TFs_and_others_ZNF557,7.983499903959659e-07
Histone_H3.7,1.0613288628677787e-06
TFs_and_others_FOXK1,1.2564289216205693e-05
TFs_and_others_IRX5,1.1355048590017335e-05
TFs_and_others_STAT3,3.36261872338039e-05
TFs_and_others_ZNF696,2.73907373660198e-06
TFs_and_others_RBBP4,3.7712673150344754e-06
TFs_and_others_PHC1,2.142231114743641e-06
TFs_and_others_ZNF462,2.9626156538463466e-06
TFs_and_others_CBFA2T3,7.698009265617018e-06
TFs_and_others_VCP,4.485190757575068e-06
TFs_and_others_MED25,1.8256614036835071e-06
TFs_and_others_KLF4,4.183520028896197e-06
TFs_and_others_ZNF713,-5.726649256420149e-07
TFs_and_others_ZNF761,-3.7166678107317355e-07
TFs_and_others_HOXC8,-1.7150941646386256e-05
TFs_and_others_IFI16,-1.5757491210877744e-05
TFs_and_others_GATA1,-4.947654875143084e-05
TFs_and_others_BCL3,3.825627204073594e-06
